Year,Cause Name,State,Deaths
2012,Kidney disease,Vermont,21
2016,Kidney disease,Vermont,30
2013,Kidney disease,Vermont,30
2000,Suicide,District of Columbia,23
2014,Kidney disease,Arizona,325
2009,Suicide,District of Columbia,29
2011,Kidney disease,South Dakota,49
2015,Kidney disease,Vermont,39
2014,Kidney disease,Vermont,37
2013,Kidney disease,Arizona,374
2015,Suicide,District of Columbia,34
2001,Kidney disease,Washington,279
1999,Suicide,District of Columbia,30
1999,Kidney disease,Washington,278
2016,Suicide,District of Columbia,40
2006,Suicide,District of Columbia,30
2002,Suicide,District of Columbia,31
2003,Kidney disease,Washington,304
2011,Kidney disease,Vermont,43
2008,Kidney disease,Vermont,39
2002,Kidney disease,Washington,306
2000,Kidney disease,Washington,293
2005,Suicide,District of Columbia,33
2015,Kidney disease,Arizona,458
2004,Suicide,District of Columbia,33
2011,Kidney disease,Arizona,395
2012,Kidney disease,South Dakota,58
2011,Suicide,District of Columbia,37
2016,Kidney disease,Arizona,487
2012,Kidney disease,Arizona,414
2013,Suicide,District of Columbia,38
2012,Suicide,District of Columbia,37
2006,Kidney disease,Iowa,225
2005,Kidney disease,South Dakota,55
2013,Kidney disease,South Dakota,64
2015,Kidney disease,Washington,474
2004,Kidney disease,Washington,348
2003,Suicide,New York,1169
2000,Suicide,New York,1132
2001,Kidney disease,Iowa,220
2007,Suicide,District of Columbia,36
2000,Suicide,Massachusetts,387
2005,Suicide,New York,1189
2004,Suicide,New York,1187
2013,Kidney disease,Washington,461
2003,Suicide,District of Columbia,36
2005,Suicide,New Jersey,536
2000,Kidney disease,California,1785
2001,Kidney disease,North Dakota,50
2014,Kidney disease,Washington,481
2009,Suicide,New Jersey,557
2007,Kidney disease,North Dakota,56
2002,Suicide,New Jersey,553
2002,Suicide,New York,1228
1999,Suicide,New York,1196
2005,Suicide,Rhode Island,71
2005,Kidney disease,Iowa,250
1999,Kidney disease,Iowa,226
2004,Kidney disease,North Dakota,55
2006,Kidney disease,South Dakota,62
2004,Suicide,Massachusetts,425
2003,Kidney disease,Iowa,241
2014,Kidney disease,South Dakota,72
2001,Suicide,District of Columbia,40
2003,Suicide,Massachusetts,433
2001,Suicide,Massachusetts,426
2006,Suicide,New Jersey,585
2001,Suicide,New York,1253
2006,Kidney disease,North Dakota,59
2003,Kidney disease,North Dakota,56
2016,Kidney disease,Washington,532
2012,Kidney disease,Washington,482
2002,Suicide,Massachusetts,436
2000,Suicide,New Jersey,560
1999,Suicide,New Jersey,563
2010,Kidney disease,Vermont,50
2006,Kidney disease,Washington,423
2006,Suicide,Massachusetts,450
1999,Suicide,Massachusetts,431
2007,Suicide,New Jersey,596
2003,Suicide,New Jersey,588
2006,Suicide,New York,1326
2002,Kidney disease,Alaska,21
2001,Kidney disease,California,1994
2011,Kidney disease,Oregon,316
2009,Kidney disease,Vermont,49
2011,Kidney disease,Washington,492
2007,Kidney disease,Washington,440
1999,Kidney disease,Wyoming,30
2008,Suicide,New Jersey,615
2004,Suicide,New Jersey,597
2001,Suicide,New Jersey,588
2007,Kidney disease,Iowa,272
2002,Kidney disease,North Dakota,57
2013,Kidney disease,Oregon,327
2012,Kidney disease,Oregon,320
2010,Suicide,District of Columbia,41
1999,Alzheimer's disease,New York,1357
2016,Influenza and pneumonia,Vermont,59
2009,Influenza and pneumonia,Vermont,52
2011,Kidney disease,California,2599
2002,Kidney disease,Idaho,86
2009,Suicide,New York,1417
2004,Kidney disease,Alaska,23
2002,Kidney disease,Iowa,261
2008,Kidney disease,Washington,471
2008,Suicide,New York,1409
2007,Suicide,New York,1396
2000,Suicide,Rhode Island,75
2001,Kidney disease,Alaska,24
2013,Kidney disease,California,2840
2012,Kidney disease,California,2728
2002,Kidney disease,California,2164
2012,Kidney disease,District of Columbia,44
2004,Kidney disease,Iowa,266
2002,Kidney disease,Oregon,266
2005,Suicide,Massachusetts,480
2016,Suicide,New Jersey,687
1999,Kidney disease,Oregon,260
2010,Kidney disease,South Dakota,74
2007,Suicide,Connecticut,271
2002,Suicide,Connecticut,260
2008,Suicide,District of Columbia,43
2005,Kidney disease,Oregon,295
2015,Kidney disease,South Dakota,79
2006,Kidney disease,Vermont,52
2012,Suicide,New Jersey,683
2009,Kidney disease,Washington,509
2005,Kidney disease,Washington,450
2003,Suicide,Connecticut,272
2008,Suicide,Massachusetts,509
2011,Suicide,New Jersey,689
2004,Kidney disease,California,2373
2003,Kidney disease,California,2334
2014,Kidney disease,Iowa,313
2009,Kidney disease,Iowa,302
2016,Kidney disease,South Dakota,90
2007,Kidney disease,Vermont,54
2004,Suicide,Rhode Island,85
2014,Kidney disease,California,3119
2005,Kidney disease,California,2482
2003,Kidney disease,Idaho,97
2016,Kidney disease,Oregon,398
2014,Kidney disease,Oregon,378
2007,Kidney disease,South Dakota,77
2005,Kidney disease,Vermont,52
2007,Suicide,Massachusetts,516
2010,Suicide,New Jersey,719
2010,Suicide,New York,1547
2003,Suicide,Rhode Island,84
2000,Alzheimer's disease,New York,1539
2016,Influenza and pneumonia,Minnesota,529
2008,Kidney disease,Arizona,503
2011,Kidney disease,Iowa,316
2008,Kidney disease,Iowa,304
2014,Suicide,District of Columbia,52
2009,Suicide,Massachusetts,530
2015,Suicide,New York,1652
2010,Kidney disease,Arizona,537
2012,Kidney disease,Iowa,322
2005,Kidney disease,North Dakota,67
1999,Suicide,Connecticut,274
2006,Suicide,Illinois,1010
2002,Suicide,Rhode Island,86
2010,Influenza and pneumonia,Vermont,60
1999,Kidney disease,California,2261
2014,Kidney disease,District of Columbia,49
2014,Kidney disease,Idaho,137
2001,Kidney disease,Idaho,95
2015,Kidney disease,Iowa,336
2012,Kidney disease,Montana,100
1999,Kidney disease,New Hampshire,93
2000,Kidney disease,North Dakota,67
2004,Kidney disease,Oregon,308
2010,Kidney disease,Washington,552
2006,Suicide,Connecticut,292
2003,Suicide,Illinois,1011
2013,Suicide,New Jersey,757
2012,Influenza and pneumonia,Oregon,382
2010,Kidney disease,Iowa,323
2003,Kidney disease,Oregon,306
2003,Kidney disease,Vermont,53
2005,Suicide,Connecticut,295
2001,Suicide,Connecticut,283
2004,Suicide,Illinois,1028
2000,Suicide,Illinois,1003
2016,Suicide,New York,1679
2014,Suicide,New York,1700
2013,Suicide,New York,1687
2001,Suicide,Rhode Island,88
2006,Kidney disease,California,2676
2005,Kidney disease,Idaho,110
2000,Kidney disease,Idaho,96
2015,Kidney disease,Oregon,409
2000,Kidney disease,Oregon,295
2004,Suicide,Connecticut,294
2005,Suicide,Hawaii,107
2014,Suicide,Massachusetts,596
2013,Suicide,Massachusetts,572
2011,Suicide,New York,1658
2006,Suicide,Rhode Island,90
2010,Influenza and pneumonia,Washington,578
2009,Kidney disease,Arizona,546
2008,Kidney disease,California,2854
2016,Kidney disease,Iowa,352
2002,Kidney disease,Vermont,53
1999,Suicide,Illinois,1020
2010,Suicide,Maryland,502
1999,Suicide,Maryland,435
2015,Suicide,New Jersey,789
2014,Suicide,New Jersey,786
2012,Suicide,New York,1708
2015,Influenza and pneumonia,Alaska,41
2011,Influenza and pneumonia,Vermont,68
2003,Kidney disease,Alaska,28
2005,Suicide,Maryland,472
2001,Suicide,Maryland,454
2011,Suicide,Massachusetts,585
2001,Alzheimer's disease,New York,1705
2012,Influenza and pneumonia,Florida,2338
2007,Kidney disease,Arizona,528
2007,Kidney disease,California,2835
2015,Kidney disease,Colorado,458
2014,Kidney disease,Colorado,448
2004,Kidney disease,Idaho,109
2004,Kidney disease,Vermont,57
2001,Suicide,California,2831
2009,Suicide,Connecticut,316
2008,Suicide,Connecticut,315
2016,Kidney disease,California,3640
2015,Kidney disease,California,3557
2009,Kidney disease,California,3033
1999,Kidney disease,Idaho,99
2000,Kidney disease,Iowa,313
2007,Suicide,Illinois,1108
2005,Suicide,Illinois,1086
2006,Suicide,Maryland,495
2011,Influenza and pneumonia,Oregon,401
2010,Kidney disease,California,3112
2015,Kidney disease,Idaho,154
2013,Suicide,Connecticut,330
2008,Suicide,Maryland,507
2012,Suicide,Massachusetts,604
2013,Kidney disease,District of Columbia,54
2013,Kidney disease,Idaho,148
2012,Kidney disease,Idaho,148
2013,Kidney disease,Iowa,369
2016,Kidney disease,Minnesota,588
2011,Kidney disease,Montana,104
2016,Kidney disease,Nevada,274
2006,Kidney disease,Oregon,353
2000,Suicide,Connecticut,304
2015,Suicide,Maryland,553
2004,Suicide,Maryland,500
2002,Suicide,Maryland,477
2016,Suicide,Massachusetts,631
2010,Suicide,Massachusetts,598
2007,Suicide,Rhode Island,96
2002,Alzheimer's disease,New York,1803
2015,Influenza and pneumonia,Florida,2676
2010,Influenza and pneumonia,Florida,2259
2016,Influenza and pneumonia,Oregon,452
2016,Kidney disease,Colorado,491
2012,Kidney disease,Colorado,428
2000,Kidney disease,Florida,1888
1999,Kidney disease,Florida,1846
2010,Kidney disease,Oregon,400
2009,Kidney disease,Oregon,387
2004,Suicide,Hawaii,116
2003,Suicide,Maryland,491
2015,Suicide,Massachusetts,642
2000,Suicide,Minnesota,440
2011,Suicide,Rhode Island,101
2003,Alzheimer's disease,New York,1866
2015,Influenza and pneumonia,Oregon,453
2013,Kidney disease,Colorado,450
2016,Kidney disease,District of Columbia,57
2000,Kidney disease,New Hampshire,106
1999,Kidney disease,Rhode Island,111
2006,Suicide,Hawaii,120
2010,Suicide,Illinois,1178
2007,Suicide,Maryland,518
2000,Suicide,Maryland,474
1999,Suicide,Minnesota,437
2007,Alzheimer's disease,New York,1999
2014,Influenza and pneumonia,Oregon,450
2003,Kidney disease,Hawaii,123
2001,Kidney disease,Oregon,331
2008,Kidney disease,South Dakota,89
1999,Kidney disease,Utah,135
2005,Suicide,California,3206
2000,Suicide,California,2969
2002,Suicide,Delaware,74
2009,Suicide,Illinois,1177
1999,Suicide,Rhode Island,96
2010,Influenza and pneumonia,Oregon,417
2000,Kidney disease,Hawaii,113
1999,Kidney disease,Vermont,56
2002,Kidney disease,Wyoming,43
2002,Suicide,Illinois,1145
2001,Suicide,Illinois,1139
2013,Suicide,Maryland,569
2011,Suicide,Maryland,558
2016,Influenza and pneumonia,Florida,2808
2011,Influenza and pneumonia,Florida,2453
2014,Influenza and pneumonia,Vermont,74
2013,Influenza and pneumonia,Vermont,77
2006,Kidney disease,Arizona,565
2015,Kidney disease,Montana,121
2000,Kidney disease,New Mexico,152
2015,Kidney disease,New York,2245
2014,Kidney disease,New York,2207
2004,Kidney disease,Wyoming,45
2006,Suicide,California,3334
2011,Suicide,Illinois,1226
2008,Suicide,Illinois,1198
2009,Suicide,Maryland,551
2009,Suicide,Nebraska,170
2003,Suicide,Ohio,1074
1999,Alzheimer's disease,Hawaii,109
2006,Alzheimer's disease,New York,2021
2008,Influenza and pneumonia,Florida,2300
2007,Influenza and pneumonia,Florida,2246
